id;code;date;details;status;payment_method;payment_date;payment_amount
1;encouragement pfft;2024-03-03T14:38:18;gadzooks;CANCELLED;CASH_ON_DELIVERY;2024-03-03T12:16:03;10012.29
2;photographer at considering;2024-03-04T08:04:01;in ugh;ISSUED;CASH_ON_DELIVERY;2024-03-04T08:26:11;21625.07
3;along copy;2024-03-03T18:23:31;uh-huh beneath consequently;CANCELLED;PAYPAL;2024-03-04T02:35:06;15282.92
4;frequent omelet;2024-03-03T14:13:07;high-level via energetically;ISSUED;PAYPAL;2024-03-03T15:07:53;30791.94
5;aw buzzing consequently;2024-03-03T17:07:58;out aw;ISSUED;PAYPAL;2024-03-03T16:35:10;12871.28
6;of amid;2024-03-03T14:03:31;athwart elm;PAID;CREDIT_CARD;2024-03-04T03:54:36;20675.9
7;ouch;2024-03-03T23:38:57;because pioneer amongst;PAID;CREDIT_CARD;2024-03-03T10:07:28;23834.35
8;vegetable hm;2024-03-03T14:05:10;instantly;CANCELLED;PAYPAL;2024-03-04T01:06:07;24992.03
9;joyously;2024-03-04T07:57:16;acclimate talkative amusing;PAID;CREDIT_CARD;2024-03-03T12:17:40;11850.94
10;and woot;2024-03-04T02:34:10;write only;ISSUED;PAYPAL;2024-03-03T15:38:20;9636.92
