id;tracking_code;date;details;invoice_id
1;pullulate;2024-03-04T01:55:07;while obvious;1
2;gleeful dose lamp;2024-03-03T13:44:34;slushy;2
3;heifer;2024-03-04T02:20:14;wry sans truly;3
4;wonderfully ugh;2024-03-03T22:16:42;drat;4
5;wrong toward before;2024-03-04T05:35:31;geez simple questionably;5
6;trusting;2024-03-04T05:27:49;unless ugh soon;6
7;regularly along with;2024-03-03T15:15:28;frenetically;7
8;under butt;2024-03-04T07:39:50;until after failing;8
9;woot;2024-03-03T23:36:41;the psst geez;9
10;bah;2024-03-04T03:26:37;finally vacuum tend;10
